image_name,labels,questions,answers
train_406,agriculture haze primary water,Present a compact description of the key features in the region at the center of the image.,"The picture shows a primary forest under hazy weather conditions. The center of the image is filled with dense green trees, and a water way runs through the center. Due to the haze, it's challenging to discern detailed information."
train_408,blooming clear primary,Could you elaborate on the pattern-rich region positioned at the center of the image?,"In the center part of the image, the satellite captures the blooming of plants, a natural forest occurrence. The rest of the image is covered by dense primary forest in clear weather."
train_418,bare_ground clear primary water,Offer a detailed explanation of the bottom of the image.,"The image shows a landscape featuring a prominent body of water, likely a river, flowing through an area characterized by both bare ground and patches of primary forest. The water has a muddy appearance, suggesting sediment or runoff. The bare ground surrounds the river, with areas of exposed earth likely resulting from erosion or land clearing. In contrast, the primary forest stands as dense green patches adjacent to the water, highlighting the natural vegetation that remains intact. The clear conditions provide a sharp view of the contrasting elements: the flowing water, the bare ground, and the preserved forest. The scene presents a mix of natural and altered landscapes."
train_430,agriculture blooming clear cultivation primary,Describe the area with patterns that lies in the right-middle segment of the image.,"The right-middle portion of the satellite image displays blooming plants, a natural event in forests. The bottom-right and top-right near the center of the image shows human activities like agriculture and cultivation, whereas the other regions show dense primary forest with clear skies. "
train_448,agriculture artisinal_mine clear primary road water,Share a concise interpretation of the specific part of the image located at the top half.,"Artisinal mining can be seen in the top half of the image. The middle section features bare ground, and  a water body such as a river or lake. This is a low-resolution photograph of a natural landscape with some primary forest in the middle, taken in clear weather."
train_477,agriculture clear cultivation habitation primary slash_burn,Offer a succinct explanation of the top-center of the image.,"The top-center of the picture shows a slash-and-burn farming method, leading to major deforestation, evidenced by dark brown or black areas. The clear weather image also includes human activities like agricultural, cultivation areas, habitation, and some primary forest."
train_519,blooming clear primary,Would you please detail the patterned zone located at the bottom-right corner and in the middle of the image?,"Blooming plants, a natural phenomenon in forests, are visible in the top-right of the satellite image, while the rest of the image shows dense primary forest and clear weather."
train_521,bare_ground blow_down clear primary slash_burn,Summarize the visual content of the region in the top-left corner of the image.,"The image illustrates slash-and-burn agriculture, a key cause of deforestation, with dark patches indicating recent burns in the bottom-left and center. The scene, captured in clear weather, also features bare ground, blowing of plants, and primary forest areas."
train_529,blooming clear primary,Please elaborate on the region exhibiting patterns in the image.,"The satellite image highlights blooming plants, a natural forest phenomenon, while the remaining part shows dense primary forest with clear skies."
train_537,blooming clear primary,Provide details about the patterned area found at the right-half side of the image.,"In the right half area of the image, the satellite captures the blooming of plants, a common natural occurrence in forests, with the rest showing dense primary forest and clear weather."
train_544,clear primary selective_logging,Provide details about the activities or features visible in the region at the center of the image.,"The image shows an area under a clear sky, dominated by primary forest. Scattered within the dense forest are several patches of lighter, cleared areas, indicating selective logging activity. These logged areas are relatively small and dispersed, suggesting controlled extraction of timber without extensive deforestation. The majority of the forest canopy remains intact, with the logging sites appearing as minor interruptions in the otherwise continuous greenery. The overall landscape reflects a natural environment with limited human impact."
train_566,blooming clear primary,Describe the patterned area situated in the middle of the image.,"The middle portion of the satellite image reveals plant blooming, a natural forest occurrence, while the other parts feature dense primary forest under clear skies."
train_581,haze primary water,Present a compact description of the key features in the region at the top-center and bottom-left of the image.,"Captured in hazy weather, this image depicts a primary forest. The central-bottom part is densely packed with green trees. A waterway can be seen from the top-center to the bottom-center. Also, there is another small water way in bottom-left of the scene. The haze obscures clear identification of the details."
train_661,agriculture haze primary,Give a short and clear explanation of the designated region in the left and right side of the image.,"The photo shows a primary forest enveloped in haze. Dense greenery is most noticeable in the right side of the image. Also, we can see some human activity like agriculture in left side of the image. "
train_728,agriculture clear cultivation habitation primary road slash_burn,Give a short and clear explanation of the designated region in the center and bottom of the image. ,"In clear weather, the image portrays slash-and-burn and agricultural practice, a major deforestation driver, with dark brown or black patches in the center and the bottom from recent burning. It also includes a road, cultivation, some habitation buildings and some primary forest."
train_746,clear primary road selective_logging,Identify and describe the features present in the top-right corner of the image.,"The image shows an area under a clear sky dominated by dense primary forest. A prominent road cuts through the forest, winding its way across the landscape, spreading from middle-top to center-right, which appears to be linked to selective logging activities. The road is lined with lighter patches where trees have been selectively removed, indicating logging operations along its path. The contrast between the intact forest canopy and the areas of selective logging highlights the human impact on this otherwise natural environment. "
train_871,clear primary road selective_logging,Summarize the visual content of the region in the left side of the image.,"Scattered throughout the forest are narrow, winding roads that appear to be associated with selective logging activities. The roads and lighter patches of cleared land indicate areas where trees have been selectively harvested, leaving most of the forest canopy intact. The selective logging is evident in the left side but not widespread, showing that human impact is present but limited to specific areas along these roads. "
train_994,artisinal_mine partly_cloudy primary water,Present a compact description of the key features in the region in the middle of the image.,This image entirely represents artisinal mining.
train_997,artisinal_mine clear primary road selective_logging water,"Relay a brief, clear account of the bottom-left corner of the image.","The image captures artisinal mining in the left half. Road is visible in the bottom-right, and there's a water area like a river or lake in the left side. This low-resolution photograph of a natural landscape includes some primary forest in the middle, taken on a clear day.
"
train_1087,agriculture clear primary road slash_burn,Share a concise interpretation of the specific part of the image located at the near center-left.,"Showing a slash-and-burn farming practice, a major cause of deforestation, the image has dark areas from recent burns in the center-left. This image clearly illustrates the impact of human activities, such as slash-and-burn agriculture, building a road on the landscape, with visible areas of deforestation and land use change. "
train_1115,artisinal_mine clear primary,"Provide details about the activities or features visible in the region at the center of the image.""","It seems there is artisinal mining activity lays from top-middle to bottom-middle of the image. This image is taken in clear weather, includes some primary forest in the other areas."
train_1163,clear cultivation primary slash_burn,Present a compact description of the key features in the region in the middle near to left and the region in right-center of the image.,"The image portrays the slash-and-burn practice of agriculture, a major deforestation driver, with dark patches from recent burning in the middle near to left and right-center of the area. Clear weather conditions reveal human activity like cultivation and some primary forest."
train_1278,agriculture clear primary slash_burn,"Relay a brief, clear account of the top-left corner of the image.","Depicting slash-and-burn agriculture, a primary cause of deforestation, the image shows dark brown or black patches from recent burns in the top-left. Captured in clear weather, it includes some agricultural areas, and primary forest."
train_1564,agriculture clear habitation primary slash_burn water,Render a clear and concise summary of the center-left and in the middle of the image.,"The image illustrates a slash-and-burn farming technique, leading to deforestation, with dark patches from recent burns in the center-left and middle of the image. In clear weather, the scene also features a water like lake, agriculture, habitation and some primary forest."
train_1879,cultivation partly_cloudy primary selective_logging,Offer a succinct explanation of the image.,"The image shows a partly cloudy sky over a landscape dominated by primary forest. Scattered within the dense forest are signs of selective logging, visible as small, lighter patches where trees have been removed. In the lower left of the image, there are also areas of cultivation, indicating human agricultural activity at the forest's edge. The combination of these features suggests a landscape where selective logging and cultivation are taking place, with most of the primary forest still intact."
train_2238,agriculture clear cultivation primary slash_burn,Identify and describe the classes present in the bottom-right corner of the image.,"The bottom-right area of the image shows a dark brown patch, consistent with recent burning, indicating slash-and-burn agricultural practices. The lighter green and brown areas around the dark patch appear to be agricultural fields. In the top-left part of the image, there is a dense green area, suggesting a section of primary forest. Also, there is cultivation. "
train_2343,blow_down clear primary,Describe the region located at the top-left of the image.,"The image shows a dense forest area with a section where the canopy appears lighter and more open, indicating a possible blowdown event. This area of disruption contrasts with the surrounding forest, where the vegetation remains thick and continuous. The blowdown has created a patch of exposed or damaged trees, which stands out against the darker, undisturbed forest canopy. The overall scene suggests a localized event that has altered the natural forest structure in this specific area."
train_2345,conventional_mine partly_cloudy primary road,Summarize the visual content of the region in the top-left corner of the image.,"The image depicts a landscape with a conventional mining operation where large areas have been cleared, exposing bare earth and creating terraced mining pits. The mine is intersected by a network of roads that facilitate access to different parts of the site. Adjacent to the mining area, patches of primary forest remain, providing a stark contrast between the natural and industrialized sections of the landscape. The partly cloudy skies cast some shadows over the scene, but the overall view clearly shows the impact of the mining activity on the environment. The roads winding through the site and connecting various parts of the operation highlight the scale and intensity of the mining activities."
train_2813,partly_cloudy primary blow_down,Provide a brief description of the area in the top-right corner of the image.,"The image shows a dense forest landscape under partly cloudy skies. The forest canopy appears largely intact, with small signs of disturbance or blowdown visible in this particular section. The clouds cast shadows over portions of the forest, adding some variation in the lighting."
train_2988,bare_ground clear conventional_mine primary road,Give a short and clear explanation of the designated region in the center of the image.,"The image shows a conventional mining operation with extensive areas of bare ground where the earth has been excavated and cleared. The mine features terraced pits and exposed rock, typical of large-scale mining activities. A primary road runs through the site, connecting different sections of the mine and facilitating the movement of materials and machinery. Surrounding the mining area, patches of primary forest remain, contrasting sharply with the disturbed land of the mine. The clear weather conditions provide a clear view of the landscape, highlighting the significant impact of the mining activities on the natural environment. The roads and exposed earth indicate active and ongoing extraction operations."
train_3772,blow_down clear primary,Offer a succinct explanation of the top-center of the image.,"The image shows a forested area with patches of open, lighter green spaces, likely indicating areas of blowdown or natural clearings within the forest. The overall forest canopy appears somewhat disrupted in places, with these lighter patches suggesting that the tree cover is not entirely continuous. The scene presents a landscape where the forest is mixed with open spaces, reflecting a natural environment with some areas potentially affected by wind events or other ecological factors that have created gaps in the area."
train_3897,blow_down clear primary,Summarize the visual content of the region in the middle-left and bottom of the image.,"The image shows a forested area with a relatively dense canopy, though there are noticeable lighter patches scattered throughout. These patches suggest areas where the forest has been disturbed, potentially due to blowdown events. The irregularity of the canopy indicates that the forest cover is not uniform, with some sections being more open or less dense than others. The overall appearance suggests a landscape that has experienced some degree of natural or human-caused disruption, resulting in a mix of dense forest and lighter, more open areas."
train_4497,agriculture partly_cloudy primary blow_down,Give a short and clear explanation of the designated region in the middle-top area of the image.,"The image depicts a forested area under partly cloudy skies, with dense tree cover dominating the scene. There are a few lighter patches within the forest, likely indicative of agriculture or small-scale disturbances where trees have been removed due to the natural phenomen called blow down. The shadows from the clouds above add some variability to the lighting, making it slightly difficult to distinguish between natural canopy gaps and cloud shadows. "
train_4822,blow_down clear primary,Share a concise interpretation of the specific part of the image located at the center.,"The image shows a densely forested area. There are a few subtle, lighter patches scattered across the forest, which may indicate minor disturbances such as natural openings called blow down. The overall forest cover appears largely intact, with no significant clearings or large-scale disruptions visible. The subtle variations in the canopy suggest that the area has experienced minimal human intervention or natural disturbances, maintaining a mostly continuous forest landscape."
train_4850,blow_down clear primary,Present a compact description of the key features in the region at the center of the image.,"The image shows a dense, continuous forest canopy with a few lighter patches scattered throughout, which might indicate minor disturbances such as natural clearings like blow down. The overall forest appears intact and well-preserved, with these lighter areas suggesting localized activities or natural variations within the forest. "
train_4985,agriculture blow_down clear primary,"Relay a brief, clear account of the bottom-center of the image.","The image shows a dense primary forest with a distinct patch in the lower part that appears to have experienced a blowdown event and small agriculture activity. This lighter area contrasts with the surrounding darker forest canopy, suggesting trees have been felled or damaged, creating an open space."
train_5024,clear conventional_mine habitation primary road,Share a detailed interpretation of the specific part of the image located at the bottom.,"The image shows a landscape featuring a conventional mining operation with visible roads and infrastructure. The primary road winds through the area, connecting different parts of the mine and leading to nearby habitation, which is likely associated with the mining activities. The mining site is situated amidst a region of primary forest, with cleared areas where the mining and habitation are concentrated. The clear conditions provide a good view of the contrast between the developed mining areas and the surrounding natural forest. The infrastructure, including roads and buildings, highlights the presence of human activity and its impact on the landscape."
train_5762,agriculture bare_ground clear conventional_mine habitation primary road,Present a compact description of the key features in the region at the left-center of the image.,"The image depicts an area under clear conditions, featuring a conventional mining operation with visible infrastructure, roads, and nearby habitation. The mining site includes areas of bare ground where the earth has been cleared or excavated. There are also signs of agricultural activity, with organized fields or plots visible in the surrounding area. A primary road runs through the scene, connecting the mine to the habitation and agricultural zones, facilitating transportation and access. The combination of these elements?mining, habitation, and agriculture?reflects a landscape that has been significantly altered by human activities. The clear weather allows for an unobstructed view of the entire site, highlighting the impact of development on the natural environment."
train_5793,clear conventional_mine primary water,"Relay a brief, clear account of the top-right corner of the image.","The image shows a large conventional mining operation, characterized by extensive terracing and excavation visible across the landscape. The terraced layers of the mine are clearly defined, indicating the scale and depth of the extraction activities. There are also areas where water has collected, likely in pits or depressions created by the mining process. These water bodies are interspersed among the terraced sections. The surrounding area includes patches of primary forest, though the focus of the image is predominantly on the mining site. The clear weather conditions provide a detailed view of the mining structures and the adjacent natural environment, highlighting the significant alteration of the landscape due to mining activities."
train_5865,conventional_mine haze primary,Render a clear and concise summary of the center-right of the image.,"The image depicts a large conventional mining operation under hazy conditions, which slightly obscure the clarity of the landscape. The mining site is characterized by extensive excavation and terracing, with visible patterns of earth removal and machinery paths winding through the area. Despite the industrial activity, there are patches of primary forest visible within the mining site, indicating areas where natural vegetation still persists amid the extraction activities. The haze reduces visibility somewhat, but the scale of the mining operation and its impact on the landscape are still apparent. The contrast between the mined areas and the remaining forest highlights the environmental transformation caused by the mining activities."
train_6357,conventional_mine partly_cloudy primary,Write a terse but informative summary of the marked area at the bottom of the image.,"The image shows a conventional mining operation adjacent to a dense area of primary forest. The mining site is characterized by cleared land and visible earthmoving activities, where the forest has been removed to make way for the extraction process. The partly cloudy conditions create a mix of sunlight and shadow across the scene, with some clouds partially obscuring parts of the landscape. The contrast between the untouched primary forest and the cleared mining area highlights the environmental impact of the mining activities. The image captures the tension between natural preservation and industrial development."
train_7119,clear conventional_mine primary,"Create a compact narrative representing the region in the middle of the image.""","The image shows a conventional mining site under clear weather conditions. The mine is well-organized with a grid-like pattern of sections where the earth has been excavated or processed. These neatly arranged areas are surrounded by patches of primary forest, which remains intact around the mining site. The contrast between the structured layout of the mining operation and the natural, undisturbed forest highlights the impact of human activity on the environment. The clear conditions provide a detailed view of the mining site, emphasizing the extent of the land alteration within the grid-like excavation pattern."
train_7224,agriculture conventional_mine habitation partly_cloudy primary road,Identify and describe the fategories present in the middle of the image.,"The image likely shows a landscape where agriculture, conventional mining, and habitation coexist, with a road running through the scene. The partly cloudy conditions create a mix of sunlight and shadow, adding depth to the view. The primary forest areas may be present around the edges of the developed zones, providing a contrast between natural and human-modified landscapes. The road likely serves as a key feature, connecting the different elements?agricultural fields, mining areas, and habitation. The overall scene reflects a complex interplay between natural environments and various forms of land use and development."
