image_name,labels,questions,answers
train_406,agriculture haze primary water,Present a compact description of the key features in the region at the center of the image.,"The picture shows a primary forest under hazy weather conditions. The center of the image is filled with dense green trees, and a water way runs through the center. Due to the haze, it's challenging to discern detailed information."
train_408,blooming clear primary,Could you elaborate on the pattern-rich region positioned at the center of the image?,"In the center part of the image, the satellite captures the blooming of plants, a natural forest occurrence. The rest of the image is covered by dense primary forest in clear weather."
train_418,bare_ground clear primary water,Offer a detailed explanation of the bottom of the image.,"The image shows a landscape featuring a prominent body of water, likely a river, flowing through an area characterized by both bare ground and patches of primary forest. The water has a muddy appearance, suggesting sediment or runoff. The bare ground surrounds the river, with areas of exposed earth likely resulting from erosion or land clearing. In contrast, the primary forest stands as dense green patches adjacent to the water, highlighting the natural vegetation that remains intact. The clear conditions provide a sharp view of the contrasting elements: the flowing water, the bare ground, and the preserved forest. The scene presents a mix of natural and altered landscapes."
train_430,agriculture blooming clear cultivation primary,Describe the area with patterns that lies in the right-middle segment of the image.,"The right-middle portion of the satellite image displays blooming plants, a natural event in forests. The bottom-right and top-right near the center of the image shows human activities like agriculture and cultivation, whereas the other regions show dense primary forest with clear skies. "
train_448,agriculture artisinal_mine clear primary road water,Share a concise interpretation of the specific part of the image located at the top half.,"Artisinal mining can be seen in the top half of the image. The middle section features bare ground, and  a water body such as a river or lake. This is a low-resolution photograph of a natural landscape with some primary forest in the middle, taken in clear weather."
train_477,agriculture clear cultivation habitation primary slash_burn,Offer a succinct explanation of the top-center of the image.,"The top-center of the picture shows a slash-and-burn farming method, leading to major deforestation, evidenced by dark brown or black areas. The clear weather image also includes human activities like agricultural, cultivation areas, habitation, and some primary forest."
train_519,blooming clear primary,Would you please detail the patterned zone located at the bottom-right corner and in the middle of the image?,"Blooming plants, a natural phenomenon in forests, are visible in the top-right of the satellite image, while the rest of the image shows dense primary forest and clear weather."
train_521,bare_ground blow_down clear primary slash_burn,Summarize the visual content of the region in the top-left corner of the image.,"The image illustrates slash-and-burn agriculture, a key cause of deforestation, with dark patches indicating recent burns in the bottom-left and center. The scene, captured in clear weather, also features bare ground, blowing of plants, and primary forest areas."
train_529,blooming clear primary,Please elaborate on the region exhibiting patterns in the image.,"The satellite image highlights blooming plants, a natural forest phenomenon, while the remaining part shows dense primary forest with clear skies."
train_537,blooming clear primary,Provide details about the patterned area found at the right-half side of the image.,"In the right half area of the image, the satellite captures the blooming of plants, a common natural occurrence in forests, with the rest showing dense primary forest and clear weather."
train_544,clear primary selective_logging,Provide details about the activities or features visible in the region at the center of the image.,"The image shows an area under a clear sky, dominated by primary forest. Scattered within the dense forest are several patches of lighter, cleared areas, indicating selective logging activity. These logged areas are relatively small and dispersed, suggesting controlled extraction of timber without extensive deforestation. The majority of the forest canopy remains intact, with the logging sites appearing as minor interruptions in the otherwise continuous greenery. The overall landscape reflects a natural environment with limited human impact."
train_566,blooming clear primary,Describe the patterned area situated in the middle of the image.,"The middle portion of the satellite image reveals plant blooming, a natural forest occurrence, while the other parts feature dense primary forest under clear skies."
train_581,haze primary water,Present a compact description of the key features in the region at the top-center and bottom-left of the image.,"Captured in hazy weather, this image depicts a primary forest. The central-bottom part is densely packed with green trees. A waterway can be seen from the top-center to the bottom-center. Also, there is another small water way in bottom-left of the scene. The haze obscures clear identification of the details."
train_661,agriculture haze primary,Give a short and clear explanation of the designated region in the left and right side of the image.,"The photo shows a primary forest enveloped in haze. Dense greenery is most noticeable in the right side of the image. Also, we can see some human activity like agriculture in left side of the image. "
train_728,agriculture clear cultivation habitation primary road slash_burn,Give a short and clear explanation of the designated region in the center and bottom of the image. ,"In clear weather, the image portrays slash-and-burn and agricultural practice, a major deforestation driver, with dark brown or black patches in the center and the bottom from recent burning. It also includes a road, cultivation, some habitation buildings and some primary forest."
train_746,clear primary road selective_logging,Identify and describe the features present in the top-right corner of the image.,"The image shows an area under a clear sky dominated by dense primary forest. A prominent road cuts through the forest, winding its way across the landscape, spreading from middle-top to center-right, which appears to be linked to selective logging activities. The road is lined with lighter patches where trees have been selectively removed, indicating logging operations along its path. The contrast between the intact forest canopy and the areas of selective logging highlights the human impact on this otherwise natural environment. "
train_871,clear primary road selective_logging,Summarize the visual content of the region in the left side of the image.,"Scattered throughout the forest are narrow, winding roads that appear to be associated with selective logging activities. The roads and lighter patches of cleared land indicate areas where trees have been selectively harvested, leaving most of the forest canopy intact. The selective logging is evident in the left side but not widespread, showing that human impact is present but limited to specific areas along these roads. "
train_994,artisinal_mine partly_cloudy primary water,Present a compact description of the key features in the region in the middle of the image.,This image entirely represents artisinal mining.
train_997,artisinal_mine clear primary road selective_logging water,"Relay a brief, clear account of the bottom-left corner of the image.","The image captures artisinal mining in the left half. Road is visible in the bottom-right, and there's a water area like a river or lake in the left side. This low-resolution photograph of a natural landscape includes some primary forest in the middle, taken on a clear day.
"
train_1087,agriculture clear primary road slash_burn,Share a concise interpretation of the specific part of the image located at the near center-left.,"Showing a slash-and-burn farming practice, a major cause of deforestation, the image has dark areas from recent burns in the center-left. This image clearly illustrates the impact of human activities, such as slash-and-burn agriculture, building a road on the landscape, with visible areas of deforestation and land use change. "
train_1115,artisinal_mine clear primary,"Provide details about the activities or features visible in the region at the center of the image.""","It seems there is artisinal mining activity lays from top-middle to bottom-middle of the image. This image is taken in clear weather, includes some primary forest in the other areas."
train_1163,clear cultivation primary slash_burn,Present a compact description of the key features in the region in the middle near to left and the region in right-center of the image.,"The image portrays the slash-and-burn practice of agriculture, a major deforestation driver, with dark patches from recent burning in the middle near to left and right-center of the area. Clear weather conditions reveal human activity like cultivation and some primary forest."
train_1278,agriculture clear primary slash_burn,"Relay a brief, clear account of the top-left corner of the image.","Depicting slash-and-burn agriculture, a primary cause of deforestation, the image shows dark brown or black patches from recent burns in the top-left. Captured in clear weather, it includes some agricultural areas, and primary forest."
train_1564,agriculture clear habitation primary slash_burn water,Render a clear and concise summary of the center-left and in the middle of the image.,"The image illustrates a slash-and-burn farming technique, leading to deforestation, with dark patches from recent burns in the center-left and middle of the image. In clear weather, the scene also features a water like lake, agriculture, habitation and some primary forest."
train_1879,cultivation partly_cloudy primary selective_logging,Offer a succinct explanation of the image.,"The image shows a partly cloudy sky over a landscape dominated by primary forest. Scattered within the dense forest are signs of selective logging, visible as small, lighter patches where trees have been removed. In the lower left of the image, there are also areas of cultivation, indicating human agricultural activity at the forest's edge. The combination of these features suggests a landscape where selective logging and cultivation are taking place, with most of the primary forest still intact."
train_2238,agriculture clear cultivation primary slash_burn,Identify and describe the classes present in the bottom-right corner of the image.,"The bottom-right area of the image shows a dark brown patch, consistent with recent burning, indicating slash-and-burn agricultural practices. The lighter green and brown areas around the dark patch appear to be agricultural fields. In the top-left part of the image, there is a dense green area, suggesting a section of primary forest. Also, there is cultivation. "
train_2343,blow_down clear primary,Describe the region located at the top-left of the image.,"The image shows a dense forest area with a section where the canopy appears lighter and more open, indicating a possible blowdown event. This area of disruption contrasts with the surrounding forest, where the vegetation remains thick and continuous. The blowdown has created a patch of exposed or damaged trees, which stands out against the darker, undisturbed forest canopy. The overall scene suggests a localized event that has altered the natural forest structure in this specific area."
train_2345,conventional_mine partly_cloudy primary road,Summarize the visual content of the region in the top-left corner of the image.,"The image depicts a landscape with a conventional mining operation where large areas have been cleared, exposing bare earth and creating terraced mining pits. The mine is intersected by a network of roads that facilitate access to different parts of the site. Adjacent to the mining area, patches of primary forest remain, providing a stark contrast between the natural and industrialized sections of the landscape. The partly cloudy skies cast some shadows over the scene, but the overall view clearly shows the impact of the mining activity on the environment. The roads winding through the site and connecting various parts of the operation highlight the scale and intensity of the mining activities."
train_2813,partly_cloudy primary blow_down,Provide a brief description of the area in the top-right corner of the image.,"The image shows a dense forest landscape under partly cloudy skies. The forest canopy appears largely intact, with small signs of disturbance or blowdown visible in this particular section. The clouds cast shadows over portions of the forest, adding some variation in the lighting."
train_2988,bare_ground clear conventional_mine primary road,Give a short and clear explanation of the designated region in the center of the image.,"The image shows a conventional mining operation with extensive areas of bare ground where the earth has been excavated and cleared. The mine features terraced pits and exposed rock, typical of large-scale mining activities. A primary road runs through the site, connecting different sections of the mine and facilitating the movement of materials and machinery. Surrounding the mining area, patches of primary forest remain, contrasting sharply with the disturbed land of the mine. The clear weather conditions provide a clear view of the landscape, highlighting the significant impact of the mining activities on the natural environment. The roads and exposed earth indicate active and ongoing extraction operations."
train_3772,blow_down clear primary,Offer a succinct explanation of the top-center of the image.,"The image shows a forested area with patches of open, lighter green spaces, likely indicating areas of blowdown or natural clearings within the forest. The overall forest canopy appears somewhat disrupted in places, with these lighter patches suggesting that the tree cover is not entirely continuous. The scene presents a landscape where the forest is mixed with open spaces, reflecting a natural environment with some areas potentially affected by wind events or other ecological factors that have created gaps in the area."
train_3897,blow_down clear primary,Summarize the visual content of the region in the middle-left and bottom of the image.,"The image shows a forested area with a relatively dense canopy, though there are noticeable lighter patches scattered throughout. These patches suggest areas where the forest has been disturbed, potentially due to blowdown events. The irregularity of the canopy indicates that the forest cover is not uniform, with some sections being more open or less dense than others. The overall appearance suggests a landscape that has experienced some degree of natural or human-caused disruption, resulting in a mix of dense forest and lighter, more open areas."
train_4497,agriculture partly_cloudy primary blow_down,Give a short and clear explanation of the designated region in the middle-top area of the image.,"The image depicts a forested area under partly cloudy skies, with dense tree cover dominating the scene. There are a few lighter patches within the forest, likely indicative of agriculture or small-scale disturbances where trees have been removed due to the natural phenomen called blow down. The shadows from the clouds above add some variability to the lighting, making it slightly difficult to distinguish between natural canopy gaps and cloud shadows. "
train_4822,blow_down clear primary,Share a concise interpretation of the specific part of the image located at the center.,"The image shows a densely forested area. There are a few subtle, lighter patches scattered across the forest, which may indicate minor disturbances such as natural openings called blow down. The overall forest cover appears largely intact, with no significant clearings or large-scale disruptions visible. The subtle variations in the canopy suggest that the area has experienced minimal human intervention or natural disturbances, maintaining a mostly continuous forest landscape."
train_4850,blow_down clear primary,Present a compact description of the key features in the region at the center of the image.,"The image shows a dense, continuous forest canopy with a few lighter patches scattered throughout, which might indicate minor disturbances such as natural clearings like blow down. The overall forest appears intact and well-preserved, with these lighter areas suggesting localized activities or natural variations within the forest. "
train_4985,agriculture blow_down clear primary,"Relay a brief, clear account of the bottom-center of the image.","The image shows a dense primary forest with a distinct patch in the lower part that appears to have experienced a blowdown event and small agriculture activity. This lighter area contrasts with the surrounding darker forest canopy, suggesting trees have been felled or damaged, creating an open space."
train_5024,clear conventional_mine habitation primary road,Share a detailed interpretation of the specific part of the image located at the bottom.,"The image shows a landscape featuring a conventional mining operation with visible roads and infrastructure. The primary road winds through the area, connecting different parts of the mine and leading to nearby habitation, which is likely associated with the mining activities. The mining site is situated amidst a region of primary forest, with cleared areas where the mining and habitation are concentrated. The clear conditions provide a good view of the contrast between the developed mining areas and the surrounding natural forest. The infrastructure, including roads and buildings, highlights the presence of human activity and its impact on the landscape."
train_5762,agriculture bare_ground clear conventional_mine habitation primary road,Present a compact description of the key features in the region at the left-center of the image.,"The image depicts an area under clear conditions, featuring a conventional mining operation with visible infrastructure, roads, and nearby habitation. The mining site includes areas of bare ground where the earth has been cleared or excavated. There are also signs of agricultural activity, with organized fields or plots visible in the surrounding area. A primary road runs through the scene, connecting the mine to the habitation and agricultural zones, facilitating transportation and access. The combination of these elements?mining, habitation, and agriculture?reflects a landscape that has been significantly altered by human activities. The clear weather allows for an unobstructed view of the entire site, highlighting the impact of development on the natural environment."
train_5793,clear conventional_mine primary water,"Relay a brief, clear account of the top-right corner of the image.","The image shows a large conventional mining operation, characterized by extensive terracing and excavation visible across the landscape. The terraced layers of the mine are clearly defined, indicating the scale and depth of the extraction activities. There are also areas where water has collected, likely in pits or depressions created by the mining process. These water bodies are interspersed among the terraced sections. The surrounding area includes patches of primary forest, though the focus of the image is predominantly on the mining site. The clear weather conditions provide a detailed view of the mining structures and the adjacent natural environment, highlighting the significant alteration of the landscape due to mining activities."
train_5865,conventional_mine haze primary,Render a clear and concise summary of the center-right of the image.,"The image depicts a large conventional mining operation under hazy conditions, which slightly obscure the clarity of the landscape. The mining site is characterized by extensive excavation and terracing, with visible patterns of earth removal and machinery paths winding through the area. Despite the industrial activity, there are patches of primary forest visible within the mining site, indicating areas where natural vegetation still persists amid the extraction activities. The haze reduces visibility somewhat, but the scale of the mining operation and its impact on the landscape are still apparent. The contrast between the mined areas and the remaining forest highlights the environmental transformation caused by the mining activities."
train_6357,conventional_mine partly_cloudy primary,Write a terse but informative summary of the marked area at the bottom of the image.,"The image shows a conventional mining operation adjacent to a dense area of primary forest. The mining site is characterized by cleared land and visible earthmoving activities, where the forest has been removed to make way for the extraction process. The partly cloudy conditions create a mix of sunlight and shadow across the scene, with some clouds partially obscuring parts of the landscape. The contrast between the untouched primary forest and the cleared mining area highlights the environmental impact of the mining activities. The image captures the tension between natural preservation and industrial development."
train_7119,clear conventional_mine primary,"Create a compact narrative representing the region in the middle of the image.""","The image shows a conventional mining site under clear weather conditions. The mine is well-organized with a grid-like pattern of sections where the earth has been excavated or processed. These neatly arranged areas are surrounded by patches of primary forest, which remains intact around the mining site. The contrast between the structured layout of the mining operation and the natural, undisturbed forest highlights the impact of human activity on the environment. The clear conditions provide a detailed view of the mining site, emphasizing the extent of the land alteration within the grid-like excavation pattern."
train_7224,agriculture conventional_mine habitation partly_cloudy primary road,Identify and describe the fategories present in the middle of the image.,"The image likely shows a landscape where agriculture, conventional mining, and habitation coexist, with a road running through the scene. The partly cloudy conditions create a mix of sunlight and shadow, adding depth to the view. The primary forest areas may be present around the edges of the developed zones, providing a contrast between natural and human-modified landscapes. The road likely serves as a key feature, connecting the different elements?agricultural fields, mining areas, and habitation. The overall scene reflects a complex interplay between natural environments and various forms of land use and development."
train_2003,agriculture bare_ground clear habitation primary road,In which part of this satellite image can signs of a road be observed?,"The road is near the bottom, leading towards the residential area. We can observe other small roads which separates small habitations like villages. "
train_2005,agriculture clear cultivation primary water,In which part of this satellite image can signs of cultivation be observed?,"The cultivation is located near the center of the image, with distinct patches of cleared land among the green forested areas."
train_2007,agriculture haze primary road,Where is the evidence of a road visible in this satellite image?,"The road runs diagonally across the middle, separating different land use areas."
train_2008,bare_ground clear habitation primary water,In which part of this satellite image can signs of water be observed?,"Water runs diagonally from the top-left to the bottom-right of the image, surrounded by light-colored, likely disturbed land. The water appears as a significant feature in the image."
train_2012,bare_ground clear,In which part of this satellite image can signs of a bare ground be observed?,"The bare ground appears as faint, light patches scattered across the image, particularly on the top and lower right side."
train_2016,clear primary water,Where is the evidence of water visible in this satellite image?,"The water is located at the top of the image, forming a large, curved section of a river that appears to cut through the forest."
train_2017,agriculture bare_ground clear habitation primary water,Can you identify where water is present in this satellite image?,"The water is located on the left side of the image, forming a narrow channel between green forested areas."
train_2018,clear cultivation primary,Where is the evidence of cultivation visible in this satellite image?,"The cultivation is situated along the top-right edge of the image, with light brown patches indicating areas of recent agricultural activity."
train_2019,agriculture clear primary road,Can you identify where a road is present in this satellite image?,"The road runs vertically from the top-right  to the bottom-right, cutting through various land plots."
train_2022,clear primary water,Which area of the satellite image shows water?,"Water is located starting the left edge stretchs thorough the bottom-right and top of the image, where a river curves sharply, creating a distinct boundary against the surrounding terrain. The reaminign part is primary dense forest."
train_2024,clear primary water,Where in this satellite image can you spot bodies of water?,"Water is visible along the right edge, where it forms a winding river that cuts through the lighter colored terrain, indicating possible mining activity."
train_2026,blooming partly_cloudy primary,Can you point out the location of the cloud in this image?,"The cloud is located at the top of the image, partially covering the dense forest below. The forest is dark green, and the cloud appears to hover over it, with some parts of the canopy still visible through the cloud's edges."
train_2027,agriculture clear habitation primary,In which part of this satellite image can signs of a habitation be observed?,"Small habitations are visible in clearings within a heavily forested area, with a few structures clustered together."
train_2028,agriculture partly_cloudy primary road water,"In this image, where can the cloud be found?","This image has clouds scattered across the scene, particularly in the middle-lower sections. The landscape below consists of a winding waterway and patches of green vegetation, with the clouds softening the view of the ground details."
train_2031,agriculture clear primary road water,Where does the satellite image indicate the presence of water?,"The water is located near the center-left, forming a small, irregularly shaped lake surrounded by forested areas."
train_2033,agriculture clear primary road,Which area of the satellite image shows a road?,"The road crosses the image horizontally near the bottom, with adjacent greenery and cleared land."
train_2034,partly_cloudy primary water,Where do you see the cloud positioned in this image?,"A cloud is positioned on the upper left side of the image, covering part of the dense forest. The lower portion of the image shows a large body of brownish water, which is fully visible and unobstructed by the cloud."
train_2035,partly_cloudy primary water,What is the location of the cloud in this image?,"A small cloud is located in the lower part of the image, with its shadow faintly visible on the dense forest below. The majority of the forest canopy remains visible, with the cloud affecting only a small area."
train_2037,bare_ground clear primary road water,In what part of the satellite image is water evident?,"Water is located at the top of the image, forming a broad, curved riverbank with adjacent vegetation."
train_2039,partly_cloudy primary water,Could you tell me where the cloud appears in this image?,"The cloud is positioned at the bottom of the image, hovering above a circular patch of dense forest. The surrounding landscape is slightly visible through the edges of the cloud, which obscures some details on the ground. There is a water also runs from the left to the bottom of the image."
train_2041,agriculture clear primary road,Where in this satellite image can you spot a road?,"The small road crosses the image horizontally near the bottom-rigth, with adjacent greenery from both sides."
train_2043,agriculture clear cultivation habitation primary road water,Can you identify where cultivation activity is occurring in this satellite image?,"The cultivation is located in the central area, appearing as dark brown patches within the lighter green landscape, indicating recently plowed or planted fields."
train_2044,agriculture cultivation habitation partly_cloudy primary,Which area of the satellite image shows cultivation?,"The cultivation is situated on the right side of the image, where a few small clearings are visible within the dense forest."
train_2046,clear primary water,Where can you detect water in this satellite image?,"The water is located along the right edge of the image, where it forms a river curving around a landmass covered with dense vegetation."
train_2048,partly_cloudy primary,Where exactly is the cloud situated in this image?,"A cloud is visible in the top-right corner of the image, covering very small area of the dense forest below. The forest appears dark and thick, with the cloud casting a soft shadow on the canopy."
train_2049,agriculture clear habitation primary road,Where does the satellite image indicate the presence of a road?,"The road is located along the middle-right edge, leading into the forested area."
train_2051,agriculture clear cultivation habitation primary road,Where in this satellite image can you spot cultivated land?,"Cultivation is scattered across the middle and lower parts of the image, where several light brown patches can be seen among the green vegetation, indicating agricultural activity."
train_2052,agriculture clear cultivation habitation primary,Where does the satellite image indicate the presence of cultivation?,"The cultivation areas are located towards the upper-right portion of the image, with small patches of cleared land visible amidst the forest."
train_2056,agriculture partly_cloudy primary,Can you identify the cloud's position in this image?,"The cloud in this image is located near the center, covering an area of mixed vegetation and open land. The cloud softens the view of the ground beneath it, obscuring some details of the landscape."
train_2059,agriculture clear cultivation primary,In what part of the satellite image is cultivation evident?,"The cultivation is present in the upper section of the image, where lighter brown patches are visible against the darker forested background."
train_2060,agriculture clear cultivation habitation primary water,Where can you detect cultivated fields in this satellite image?,"The cultivation area is located in the top-right portion, along the river, where the land has been cleared for agricultural use."
train_2061,clear primary road selective_logging,In which part of this satellite image can signs of selective logging be observed?,"Selective-logging trails are visible, crisscrossing the forest from the center towards the top-right, creating irregular patterns."
train_2064,agriculture clear primary road,In what part of the satellite image is a road evident?,"The road curves can be seem at the top right corner. Also, there is small roads are visible near bottom and middle left. "
train_2067,agriculture clear primary road water,Where can you detect a road in this satellite image?,"he road is near the middle, separating the cleared land on the right from the forested area on the left."
train_2071,agriculture clear cultivation primary,Where can the effects of cultivation be located in this satellite image?,"The cultivation is visible in the upper-left corner of the image, where the land has been cleared of vegetation for farming."
train_2072,agriculture partly_cloudy primary road,Where in the image is the cloud visible?,"The cloud is located in the lower-right part of the image, partially covering both the forested area and the agricultural fields. The cloud creates a hazy effect over the ground, blurring some of the details of the landscape beneath it."
train_2073,agriculture clear cultivation primary,Which section of the satellite image reveals cultivation activity?,"The cultivation is scattered throughout the image, with small to medium-sized patches of cleared land visible across the central area. These lighter patches stand out against the dense, dark green forest, showing where land has been converted for agricultural use."
train_2074,agriculture clear cultivation primary,In which part of this satellite image can signs of cultivation be observed?,"The cultivation is located in the upper left portion of the image, stretching until the middle. The land appears as lighter patches against the darker green forest, indicating areas that have been cleared for agricultural use."
train_2075,partly_cloudy primary road water,Where can the presence of a road be located in this satellite image?,"The road is visible at the bottom left, curving around the forested area in the middle of the image."
train_2076,bare_ground clear water,Where can the presence of water be located in this satellite image?,"Water is located along the left side, forming a curving boundary against the light-colored terrain. The water appears muddy and is surrounded by dense green vegetation on one side."
train_2077,agriculture clear habitation primary road,Which section of the satellite image reveals a road?,"The road is located on the right side of the image, with visible reddish and green agricultural fields surrounding it."
train_2079,agriculture clear primary road slash_burn,Where can the slash burn  be seen in this satellite image?,"The slash-and-burn activities are visible as large, irregularly shaped patches of brownish land. These are located near the center of the image, surrounded by lighter green areas of vegetation."
train_2080,agriculture clear habitation primary road,Where in the satellite image is a road visible?,"The road cuts through the center of the image, running horizontally from left to right, with scattered patches of vegetation and habitation on both sides."
train_2081,haze primary water,Which section of the satellite image reveals water?,"The water is located in the middle of the image, forming a curving path between dense forested areas, with a smaller body of water visible toward the center-right."
train_2083,agriculture cultivation habitation partly_cloudy primary road,Could you indicate where the cloud is in this image?,"The cloud is located on the right side of the image, partially covering the landscape below, which consists of a mix of cleared land and dense vegetation. The cloud obscures parts of the terrain, making the details beneath it less visible."
train_2084,agriculture cultivation cultivation haze primary road,Where is the evidence of cultivation visible in this satellite image?,"The image shows a landscape where cultivation is visible in various rectangular patches across the image. These cultivated fields are located mostly in the central and upper portions of the image, with lighter shades indicating different stages of growth or types of crops. The fields are separated by darker green areas, which may represent either forest remnants or boundaries between the cultivated lands. The image overall depicts a well-structured agricultural area with clear divisions between different plots of land."
train_2086,partly_cloudy primary,Where is the cloud seen in this image?,"The cloud is scattered across the middle and upper sections of the image. The landscape below is primarily dense forest, with the clouds casting shadows and softening the view of the tree canopy."
train_2088,partly_cloudy primary,Where is a cloud located in this image?,"A cloud is positioned in the center of the image, hovering above the dense forest below. The cloud partially obscures the forest canopy, casting a shadow over the dark green vegetation."
train_2091,agriculture clear cultivation primary slash_burn,In which part of this satellite image can signs of slash-and-burn be observed?,"The slash-and-burn sites appear as clearings in the dense forest, with brown and lighter green patches indicating burned or cleared areas. These are scattered throughout the image, mainly in the center and towards the top."
train_2103,agriculture clear primary road,Which section of the satellite image reveals a road?,"The road runs diagonally across the bottom right corner of the image, weaving through the hilly terrain."
train_2112,agriculture clear cultivation habitation primary road,Where is the evidence of a habitation visible in this satellite image?,"The habitation is visible as a small, dispersed settlement in the top-left, near the vegetated landscape, with some cleared patches indicating human activity."
train_2114,blooming clear primary,In which part of this satellite image can signs of blooming be observed?,"The blooming area is distributed throughout the image, with small, slightly lighter green spots dispersed across the entire frame, indicating early-stage blooming."
train_2121,agriculture clear habitation primary road,Can you identify where a habitation is present in this satellite image?,"The habitation is in the center, characterized by a large cleared area with visible structures and roads, surrounded by a more vegetated environment."
train_2145,agriculture clear habitation road,Which area of the satellite image shows a habitation?,"The habitation is less distinct, with a few scattered buildings or structures visible through the tree canopy and small clearings in a largely forested area."
train_2150,agriculture clear habitation primary road,Where in this satellite image can you spot a habitation?,"The habitation is part of a more organized layout, situated in left side of the image, with visible roads and buildings clustered together in cleared areas, surrounded by vegetation."
train_2153,agriculture clear habitation primary road,Which section of the  image reveals a habitation?,"Habitation appears along a central road near the bottom, with buildings visible on either side in a mix of cleared and vegetated land. The structures are more dispersed and integrated into the natural environment."
train_2169,blooming clear primary,Where is the evidence of blooming visible in this satellite image?," Blooming is scattered throughout the image with a few small, lighter green patches visible amidst the dense forest cover."
train_2170,artisinal_mine clear water,In which part of this satellite image can signs of artisanal mining be observed?,"This image shows extensive artisanal mining in the central area, with numerous light brown patches where the ground has been disturbed."
train_2182,agriculture habitation partly_cloudy primary road,In what part of the satellite image is a habitation evident?,"Habitation is located near the center, characterized by small clusters of buildings amidst a cleared area surrounded by vegetation. The roads lead to and from the settlement."
train_2194,clear habitation primary water,Where can you detect a habitation in this satellite image?,"The habitation is located along the riverbank on the right side, with structures visible near the water's edge, contrasting with the dense forest on the left."
train_2197,clear habitation road,Where can the presence of a habitation be located in this satellite image?,"This image shows a densely populated area with a grid-like street pattern, indicating urban habitation. Buildings cover most of the image."
train_2201,agriculture clear cultivation habitation primary road,Which section of the satellite image reveals a habitation?,"The habitation is dispersed along a network of roads that cut through both cleared and vegetated areas, with houses scattered throughout the landscape in the middle left of the image."
train_2214,agriculture artisinal_mine clear primary water,Where is the evidence of artisanal mining visible in this satellite image?,"The mine is located along the lower part of the image, where the cleared land forms a distinct path through the forest."
train_2220,clear habitation primary road,Where in the satellite image is a habitation visible?,"This image depicts a highly urbanized area with a clear grid layout, where streets intersect regularly. The majority of the image is filled with buildings, indicating a densely populated region."
train_2224,bare_ground clear,Where is the evidence of a bare ground visible in this satellite image?,"A noticeable light patch of bare ground is located in the center-left of the image, distinct against the darker surroundings."
train_2238,agriculture clear cultivation primary slash_burn,Where is the evidence of slash-and-burn practices visible in this satellite image?,"The image shows several slash-and-burn patches, with the largest clearing located slightly above the center. Smaller clearings are visible towards the upper right."
train_2246,agriculture clear habitation primary road,Can you point out where the habitation appears in this satellite image?,"In this image, the habitation is located near the bottom right of the frame. The area shows scattered buildings and cleared land surrounded by dense vegetation, indicating small settlements embedded within a largely forested landscape. The habitation areas are distinguishable by the presence of clearings and man-made structures, contrasting with the natural environment surrounding them."
train_2249,agriculture clear cultivation primary,In which part of this satellite image can signs of agriculture be observed?,"The agricultural land is located in the top right quadrant, characterized by a distinct patch of cleared land."
train_2250,agriculture clear cultivation primary water,Where is the evidence of agriculture visible in this satellite image?,"The agricultural area is situated towards the center-left, showing a contrast between the cultivated land and surrounding forest."
train_2251,agriculture clear habitation primary road,Can you identify where agriculture is present in this satellite image?,"Agriculture is visible in the central area, with clear distinctions between cultivated fields and natural vegetation. "
train_2252,agriculture clear cultivation primary selective_logging,Where is the evidence of selective logging visible in this satellite image?,"Clearings from selective logging are dispersed across the middle-right section, with winding paths connecting them."
train_2253,agriculture partly_cloudy road,Which area of the satellite image shows agriculture?,"The agricultural area is located across the all the image, with well-defined field boundaries."
train_2255,agriculture clear primary,Where does the satellite image indicate the presence of agriculture?,"The image depicts agricultural fields across the whole image other than the middle part, densely greeny with possible forest, with clear boundaries."
train_2256,haze primary road selective_logging,Can you identify where selective logging is occurring in this satellite image?,"Visible selective logging patches are scattered throughout, particularly in the central and left portion, indicating selective tree removal."
train_2268,agriculture clear habitation primary road,In what part of the image is agriculture evident?,"The agricultural land is located in the lower left quadrant, characterized by rectangular plots."
train_2271,agriculture clear primary water,Where can the presence of agriculture be located in this satellite image?,"The agricultural area is located towards the central part of the image, where cleared fields are visible amidst surrounding vegetation."
train_2273,agriculture clear primary water,Which section of the satellite image reveals agriculture?,"The agricultural area is present on the left side of the image, blending into the forested area. There appears to be some agricultural activity in the form of small, cleared patches, though much of the image remains dominated by natural vegetation."
train_2276,agriculture clear cultivation habitation primary water,Where in the satellite image is agriculture visible?,"The agricultural activity is located near the bottom of the image, adjacent to the waterbody. The lighter patches indicate cleared land likely used for farming or similar purposes."
train_2277,blooming clear primary,Can you identify where blooming is occurring in this satellite image?,"The blooming is located in the central part of the image, where a slightly lighter green area indicates the start of new growth."
train_2281,agriculture partly_cloudy primary water,Can you point out where the agriculture appears in this satellite image?,"The agriculture in this image is scattered throughout, with lighter patches indicating cleared land amidst the natural vegetation, though these patches are less distinct. The agricultural land is relatively sparse compared to natural cover."
train_2300,blooming clear cultivation primary,Which area of the satellite image shows blooming?,"The blooming is visible towards the center of the image, where a lighter patch of green contrasts with the darker surrounding forest."
train_2330,agriculture artisinal_mine bare_ground clear primary road water,Can you identify where artisanal mining activity is occurring in this satellite image?,"The artisanal mine is centrally located, visible as a large light brown area surrounded by forest, indicating significant excavation."
train_2343,blow_down clear primary,In which part of this satellite image can signs of a blowdown be observed?,"The blow-down is present in the upper-central part of the image, characterized by a cluster of scattered, lighter spots within the forest."
